profile_id,source_domain,target_domain,source,source_id,location,career_bridge_score,bridge_label,matched_skill_count,matched_skill_labels,missing_reskilling_skill_labels
1227,Tourism,Green Energy,stack-law,4570,"Baden-Wüttemberg, Germany",0.068785,large gap,1,sales activities,crowdsourcing strategy | monitor developments in field of expertise | digital curation | build team spirit | manage maintenance operations | laboratory equipment | promote health and safety | protect the health of others | accounting | provide high quality customer service
1293,Tourism,Green Energy,stack-sports,6039,"Dublin, Ireland",0.063961,large gap,1,laboratory equipment,crowdsourcing strategy | monitor developments in field of expertise | digital curation | build team spirit | sales activities | manage maintenance operations | promote health and safety | protect the health of others | accounting | provide high quality customer service
1440,Tourism,Green Energy,stack-electronics,4831,"Amersfoort, Netherlands",0.063961,large gap,1,laboratory equipment,crowdsourcing strategy | monitor developments in field of expertise | digital curation | build team spirit | sales activities | manage maintenance operations | promote health and safety | protect the health of others | accounting | provide high quality customer service
226,Green Energy,IT,stack-chemistry,160,Germany,0.063553,large gap,1,database,monitor developments in field of expertise | digital curation | think analytically | deliver visual presentation of data | consult with business clients | accounting | provide high quality customer service | Python (computer programming) | SQL | coordinate security
315,Tourism,Education,stack-earthscience,87,"Berlin, Germany",0.063227,large gap,1,climatology,monitor developments in field of expertise | digital curation | process booking | respond to inquiries in written form | sell tourist packages | arrange bookings | make reservations | crowdsourcing strategy | solve technical problems | innovation processes
783,Tourism,Education,stack-earthscience,2613,"Lisbon, Portugal",0.063227,large gap,1,climatology,monitor developments in field of expertise | digital curation | process booking | respond to inquiries in written form | sell tourist packages | arrange bookings | make reservations | crowdsourcing strategy | solve technical problems | innovation processes
1842,Tourism,Education,stack-physics,4962,Denmark,0.063227,large gap,1,climatology,monitor developments in field of expertise | digital curation | process booking | respond to inquiries in written form | sell tourist packages | arrange bookings | make reservations | crowdsourcing strategy | solve technical problems | innovation processes
315,Tourism,Healthcare,stack-earthscience,87,"Berlin, Germany",0.060454,large gap,1,climatology,monitor developments in field of expertise | digital curation | think analytically | consult with business clients | process payments | build team spirit | sell tourist packages | arrange bookings | respond to inquiries in written form | process booking
317,Education,Healthcare,stack-earthscience,94,Germany,0.060454,large gap,1,climatology,monitor developments in field of expertise | digital curation | think analytically | consult with business clients | process payments | build team spirit | sell tourist packages | arrange bookings | respond to inquiries in written form | process booking
638,Education,Healthcare,stack-physics,1236,Czech Republic,0.060454,large gap,1,climatology,monitor developments in field of expertise | digital curation | think analytically | consult with business clients | process payments | build team spirit | sell tourist packages | arrange bookings | respond to inquiries in written form | process booking
646,Education,Healthcare,stack-physics,1492,Greece,0.060454,large gap,1,climatology,monitor developments in field of expertise | digital curation | think analytically | consult with business clients | process payments | build team spirit | sell tourist packages | arrange bookings | respond to inquiries in written form | process booking
783,Tourism,Healthcare,stack-earthscience,2613,"Lisbon, Portugal",0.060454,large gap,1,climatology,monitor developments in field of expertise | digital curation | think analytically | consult with business clients | process payments | build team spirit | sell tourist packages | arrange bookings | respond to inquiries in written form | process booking
1842,Tourism,Healthcare,stack-physics,4962,Denmark,0.060454,large gap,1,climatology,monitor developments in field of expertise | digital curation | think analytically | consult with business clients | process payments | build team spirit | sell tourist packages | arrange bookings | respond to inquiries in written form | process booking
378,Education,Green Energy,stack-law,1185,"Düsseldorf, Germany",0.058719,large gap,1,accounting,crowdsourcing strategy | monitor developments in field of expertise | digital curation | build team spirit | sales activities | manage maintenance operations | laboratory equipment | promote health and safety | protect the health of others | provide high quality customer service
378,Education,Tourism,stack-law,1185,"Düsseldorf, Germany",0.05801,large gap,1,accounting,sales activities | sell tourist packages | process payments | build team spirit | provide high quality customer service | climatology | respond to inquiries in written form | arrange bookings | make reservations | process booking
317,Education,IT,stack-earthscience,94,Germany,0.056714,large gap,1,Python (computer programming),monitor developments in field of expertise | digital curation | think analytically | database | deliver visual presentation of data | consult with business clients | accounting | provide high quality customer service | SQL | coordinate security
953,Green Energy,IT,stack-stackoverflow,2988,"Karlsruhe, Germany",0.056714,large gap,1,Python (computer programming),monitor developments in field of expertise | digital curation | think analytically | database | deliver visual presentation of data | consult with business clients | accounting | provide high quality customer service | SQL | coordinate security
919,Green Energy,IT,stack-stackoverflow,2648,Ireland,0.056714,large gap,1,Python (computer programming),monitor developments in field of expertise | digital curation | think analytically | database | deliver visual presentation of data | consult with business clients | accounting | provide high quality customer service | SQL | coordinate security
334,Green Energy,IT,stack-earthscience,502,"Århus, Denmark",0.056714,large gap,1,Python (computer programming),monitor developments in field of expertise | digital curation | think analytically | database | deliver visual presentation of data | consult with business clients | accounting | provide high quality customer service | SQL | coordinate security
516,Green Energy,IT,stack-stackoverflow,1796,"Bucharest, Romania",0.056714,large gap,1,Python (computer programming),monitor developments in field of expertise | digital curation | think analytically | database | deliver visual presentation of data | consult with business clients | accounting | provide high quality customer service | SQL | coordinate security
691,Green Energy,IT,stack-biology,1590,Sweden,0.056714,large gap,1,Python (computer programming),monitor developments in field of expertise | digital curation | think analytically | database | deliver visual presentation of data | consult with business clients | accounting | provide high quality customer service | SQL | coordinate security
916,Green Energy,IT,stack-stackoverflow,2597,Netherlands,0.056714,large gap,1,Python (computer programming),monitor developments in field of expertise | digital curation | think analytically | database | deliver visual presentation of data | consult with business clients | accounting | provide high quality customer service | SQL | coordinate security
970,Green Energy,IT,stack-stackoverflow,3320,"Delft, South Holland Netherlands",0.056714,large gap,1,Python (computer programming),monitor developments in field of expertise | digital curation | think analytically | database | deliver visual presentation of data | consult with business clients | accounting | provide high quality customer service | SQL | coordinate security
255,Education,IT,stack-philosophy,37,"Wroclaw, Poland",0.056714,large gap,1,Python (computer programming),monitor developments in field of expertise | digital curation | think analytically | database | deliver visual presentation of data | consult with business clients | accounting | provide high quality customer service | SQL | coordinate security
304,Education,IT,stack-linguistics,695,"Warsaw, Poland",0.056714,large gap,1,Python (computer programming),monitor developments in field of expertise | digital curation | think analytically | database | deliver visual presentation of data | consult with business clients | accounting | provide high quality customer service | SQL | coordinate security
592,Education,IT,stack-math,1988,Germany,0.056714,large gap,1,Python (computer programming),monitor developments in field of expertise | digital curation | think analytically | database | deliver visual presentation of data | consult with business clients | accounting | provide high quality customer service | SQL | coordinate security
127,Education,IT,stack-electronics,1240,"Ludwigshafen am Rhein, Germany",0.056675,large gap,1,coordinate security,monitor developments in field of expertise | digital curation | think analytically | database | deliver visual presentation of data | consult with business clients | accounting | provide high quality customer service | Python (computer programming) | SQL
540,Education,IT,stack-stackoverflow,2238,Finland,0.056675,large gap,1,coordinate security,monitor developments in field of expertise | digital curation | think analytically | database | deliver visual presentation of data | consult with business clients | accounting | provide high quality customer service | Python (computer programming) | SQL
1227,Tourism,Education,stack-law,4570,"Baden-Wüttemberg, Germany",0.055472,large gap,1,sales activities,monitor developments in field of expertise | digital curation | process booking | respond to inquiries in written form | sell tourist packages | arrange bookings | make reservations | crowdsourcing strategy | solve technical problems | climatology
23,Education,Green Energy,stack-stackoverflow,476,Germany,0.053791,large gap,1,provide user documentation,crowdsourcing strategy | monitor developments in field of expertise | digital curation | build team spirit | sales activities | manage maintenance operations | laboratory equipment | promote health and safety | protect the health of others | accounting
1227,Tourism,IT,stack-law,4570,"Baden-Wüttemberg, Germany",0.053557,large gap,1,sales activities,monitor developments in field of expertise | digital curation | think analytically | database | deliver visual presentation of data | consult with business clients | accounting | provide high quality customer service | Python (computer programming) | SQL
3,IT,Education,stack-stackoverflow,86,Denmark,0.053095,large gap,1,Python (computer programming),monitor developments in field of expertise | digital curation | process booking | respond to inquiries in written form | sell tourist packages | arrange bookings | make reservations | crowdsourcing strategy | solve technical problems | climatology
4,Green Energy,Education,stack-stackoverflow,95,Poland,0.053095,large gap,1,Python (computer programming),monitor developments in field of expertise | digital curation | process booking | respond to inquiries in written form | sell tourist packages | arrange bookings | make reservations | crowdsourcing strategy | solve technical problems | climatology
39,Green Energy,Education,stack-stackoverflow,917,"Munich, Germany",0.053095,large gap,1,Python (computer programming),monitor developments in field of expertise | digital curation | process booking | respond to inquiries in written form | sell tourist packages | arrange bookings | make reservations | crowdsourcing strategy | solve technical problems | climatology
12,IT,Education,stack-stackoverflow,170,"Dublin, Ireland",0.053095,large gap,1,Python (computer programming),monitor developments in field of expertise | digital curation | process booking | respond to inquiries in written form | sell tourist packages | arrange bookings | make reservations | crowdsourcing strategy | solve technical problems | climatology
29,IT,Education,stack-stackoverflow,720,"Karlsruhe, Baden-Wurttemberg Germany",0.053095,large gap,1,Python (computer programming),monitor developments in field of expertise | digital curation | process booking | respond to inquiries in written form | sell tourist packages | arrange bookings | make reservations | crowdsourcing strategy | solve technical problems | climatology
31,Green Energy,Education,stack-stackoverflow,834,Germany,0.053095,large gap,1,Python (computer programming),monitor developments in field of expertise | digital curation | process booking | respond to inquiries in written form | sell tourist packages | arrange bookings | make reservations | crowdsourcing strategy | solve technical problems | climatology
34,IT,Education,stack-stackoverflow,890,Sweden,0.053095,large gap,1,Python (computer programming),monitor developments in field of expertise | digital curation | process booking | respond to inquiries in written form | sell tourist packages | arrange bookings | make reservations | crowdsourcing strategy | solve technical problems | climatology
37,IT,Education,stack-stackoverflow,913,Belgium,0.053095,large gap,1,Python (computer programming),monitor developments in field of expertise | digital curation | process booking | respond to inquiries in written form | sell tourist packages | arrange bookings | make reservations | crowdsourcing strategy | solve technical problems | climatology
41,IT,Education,stack-stackoverflow,932,"Athens, Greece",0.053095,large gap,1,Python (computer programming),monitor developments in field of expertise | digital curation | process booking | respond to inquiries in written form | sell tourist packages | arrange bookings | make reservations | crowdsourcing strategy | solve technical problems | climatology
50,IT,Education,stack-stackoverflow,985,"Łódź, Poland",0.053095,large gap,1,Python (computer programming),monitor developments in field of expertise | digital curation | process booking | respond to inquiries in written form | sell tourist packages | arrange bookings | make reservations | crowdsourcing strategy | solve technical problems | climatology
57,IT,Education,stack-stackoverflow,1037,Netherlands,0.053095,large gap,1,Python (computer programming),monitor developments in field of expertise | digital curation | process booking | respond to inquiries in written form | sell tourist packages | arrange bookings | make reservations | crowdsourcing strategy | solve technical problems | climatology
60,IT,Education,stack-stackoverflow,1087,Ireland,0.053095,large gap,1,Python (computer programming),monitor developments in field of expertise | digital curation | process booking | respond to inquiries in written form | sell tourist packages | arrange bookings | make reservations | crowdsourcing strategy | solve technical problems | climatology
64,IT,Education,stack-stackoverflow,1109,Sweden,0.053095,large gap,1,Python (computer programming),monitor developments in field of expertise | digital curation | process booking | respond to inquiries in written form | sell tourist packages | arrange bookings | make reservations | crowdsourcing strategy | solve technical problems | climatology
66,IT,Education,stack-stackoverflow,1168,"Karlsruhe, Germany",0.053095,large gap,1,Python (computer programming),monitor developments in field of expertise | digital curation | process booking | respond to inquiries in written form | sell tourist packages | arrange bookings | make reservations | crowdsourcing strategy | solve technical problems | climatology
953,Green Energy,Education,stack-stackoverflow,2988,"Karlsruhe, Germany",0.053095,large gap,1,Python (computer programming),monitor developments in field of expertise | digital curation | process booking | respond to inquiries in written form | sell tourist packages | arrange bookings | make reservations | crowdsourcing strategy | solve technical problems | climatology
919,Green Energy,Education,stack-stackoverflow,2648,Ireland,0.053095,large gap,1,Python (computer programming),monitor developments in field of expertise | digital curation | process booking | respond to inquiries in written form | sell tourist packages | arrange bookings | make reservations | crowdsourcing strategy | solve technical problems | climatology
334,Green Energy,Education,stack-earthscience,502,"Århus, Denmark",0.053095,large gap,1,Python (computer programming),monitor developments in field of expertise | digital curation | process booking | respond to inquiries in written form | sell tourist packages | arrange bookings | make reservations | crowdsourcing strategy | solve technical problems | climatology
516,Green Energy,Education,stack-stackoverflow,1796,"Bucharest, Romania",0.053095,large gap,1,Python (computer programming),monitor developments in field of expertise | digital curation | process booking | respond to inquiries in written form | sell tourist packages | arrange bookings | make reservations | crowdsourcing strategy | solve technical problems | climatology
691,Green Energy,Education,stack-biology,1590,Sweden,0.053095,large gap,1,Python (computer programming),monitor developments in field of expertise | digital curation | process booking | respond to inquiries in written form | sell tourist packages | arrange bookings | make reservations | crowdsourcing strategy | solve technical problems | climatology
916,Green Energy,Education,stack-stackoverflow,2597,Netherlands,0.053095,large gap,1,Python (computer programming),monitor developments in field of expertise | digital curation | process booking | respond to inquiries in written form | sell tourist packages | arrange bookings | make reservations | crowdsourcing strategy | solve technical problems | climatology
970,Green Energy,Education,stack-stackoverflow,3320,"Delft, South Holland Netherlands",0.053095,large gap,1,Python (computer programming),monitor developments in field of expertise | digital curation | process booking | respond to inquiries in written form | sell tourist packages | arrange bookings | make reservations | crowdsourcing strategy | solve technical problems | climatology
1290,Tourism,Healthcare,stack-sports,4870,"Karlsruhe, Germany",0.052854,large gap,1,coaching techniques,monitor developments in field of expertise | digital curation | think analytically | consult with business clients | process payments | build team spirit | sell tourist packages | climatology | arrange bookings | respond to inquiries in written form
1689,Tourism,Healthcare,stack-sports,9337,"Arras, France",0.052854,large gap,1,coaching techniques,monitor developments in field of expertise | digital curation | think analytically | consult with business clients | process payments | build team spirit | sell tourist packages | climatology | arrange bookings | respond to inquiries in written form
455,Education,Healthcare,stack-sports,364,"Lund, Sweden",0.052854,large gap,1,coaching techniques,monitor developments in field of expertise | digital curation | think analytically | consult with business clients | process payments | build team spirit | sell tourist packages | climatology | arrange bookings | respond to inquiries in written form
14,IT,Tourism,stack-stackoverflow,260,"Budapest, Hungary",0.0,large gap,0,,sales activities | sell tourist packages | process payments | build team spirit | provide high quality customer service | climatology | respond to inquiries in written form | arrange bookings | make reservations | process booking
14,IT,Healthcare,stack-stackoverflow,260,"Budapest, Hungary",0.0,large gap,0,,monitor developments in field of expertise | digital curation | think analytically | consult with business clients | process payments | build team spirit | sell tourist packages | climatology | arrange bookings | respond to inquiries in written form
23,Education,Tourism,stack-stackoverflow,476,Germany,0.0,large gap,0,,sales activities | sell tourist packages | process payments | build team spirit | provide high quality customer service | climatology | respond to inquiries in written form | arrange bookings | make reservations | process booking
23,Education,Healthcare,stack-stackoverflow,476,Germany,0.0,large gap,0,,monitor developments in field of expertise | digital curation | think analytically | consult with business clients | process payments | build team spirit | sell tourist packages | climatology | arrange bookings | respond to inquiries in written form
3,IT,Tourism,stack-stackoverflow,86,Denmark,0.0,large gap,0,,sales activities | sell tourist packages | process payments | build team spirit | provide high quality customer service | climatology | respond to inquiries in written form | arrange bookings | make reservations | process booking
3,IT,Healthcare,stack-stackoverflow,86,Denmark,0.0,large gap,0,,monitor developments in field of expertise | digital curation | think analytically | consult with business clients | process payments | build team spirit | sell tourist packages | climatology | arrange bookings | respond to inquiries in written form
3,IT,Green Energy,stack-stackoverflow,86,Denmark,0.0,large gap,0,,crowdsourcing strategy | monitor developments in field of expertise | digital curation | build team spirit | sales activities | manage maintenance operations | laboratory equipment | promote health and safety | protect the health of others | accounting
4,Green Energy,Tourism,stack-stackoverflow,95,Poland,0.0,large gap,0,,sales activities | sell tourist packages | process payments | build team spirit | provide high quality customer service | climatology | respond to inquiries in written form | arrange bookings | make reservations | process booking
4,Green Energy,Healthcare,stack-stackoverflow,95,Poland,0.0,large gap,0,,monitor developments in field of expertise | digital curation | think analytically | consult with business clients | process payments | build team spirit | sell tourist packages | climatology | arrange bookings | respond to inquiries in written form
39,Green Energy,Tourism,stack-stackoverflow,917,"Munich, Germany",0.0,large gap,0,,sales activities | sell tourist packages | process payments | build team spirit | provide high quality customer service | climatology | respond to inquiries in written form | arrange bookings | make reservations | process booking
39,Green Energy,Healthcare,stack-stackoverflow,917,"Munich, Germany",0.0,large gap,0,,monitor developments in field of expertise | digital curation | think analytically | consult with business clients | process payments | build team spirit | sell tourist packages | climatology | arrange bookings | respond to inquiries in written form
12,IT,Tourism,stack-stackoverflow,170,"Dublin, Ireland",0.0,large gap,0,,sales activities | sell tourist packages | process payments | build team spirit | provide high quality customer service | climatology | respond to inquiries in written form | arrange bookings | make reservations | process booking
12,IT,Healthcare,stack-stackoverflow,170,"Dublin, Ireland",0.0,large gap,0,,monitor developments in field of expertise | digital curation | think analytically | consult with business clients | process payments | build team spirit | sell tourist packages | climatology | arrange bookings | respond to inquiries in written form
12,IT,Green Energy,stack-stackoverflow,170,"Dublin, Ireland",0.0,large gap,0,,crowdsourcing strategy | monitor developments in field of expertise | digital curation | build team spirit | sales activities | manage maintenance operations | laboratory equipment | promote health and safety | protect the health of others | accounting
161,Education,Tourism,stack-physics,184,"Warsaw, Poland",0.0,large gap,0,,sales activities | sell tourist packages | process payments | build team spirit | provide high quality customer service | climatology | respond to inquiries in written form | arrange bookings | make reservations | process booking
161,Education,Healthcare,stack-physics,184,"Warsaw, Poland",0.0,large gap,0,,monitor developments in field of expertise | digital curation | think analytically | consult with business clients | process payments | build team spirit | sell tourist packages | climatology | arrange bookings | respond to inquiries in written form
161,Education,Green Energy,stack-physics,184,"Warsaw, Poland",0.0,large gap,0,,crowdsourcing strategy | monitor developments in field of expertise | digital curation | build team spirit | sales activities | manage maintenance operations | laboratory equipment | promote health and safety | protect the health of others | accounting
193,Education,Tourism,stack-biology,129,"Warsaw, Poland",0.0,large gap,0,,sales activities | sell tourist packages | process payments | build team spirit | provide high quality customer service | climatology | respond to inquiries in written form | arrange bookings | make reservations | process booking
193,Education,Healthcare,stack-biology,129,"Warsaw, Poland",0.0,large gap,0,,monitor developments in field of expertise | digital curation | think analytically | consult with business clients | process payments | build team spirit | sell tourist packages | climatology | arrange bookings | respond to inquiries in written form
193,Education,Green Energy,stack-biology,129,"Warsaw, Poland",0.0,large gap,0,,crowdsourcing strategy | monitor developments in field of expertise | digital curation | build team spirit | sales activities | manage maintenance operations | laboratory equipment | promote health and safety | protect the health of others | accounting
29,IT,Tourism,stack-stackoverflow,720,"Karlsruhe, Baden-Wurttemberg Germany",0.0,large gap,0,,sales activities | sell tourist packages | process payments | build team spirit | provide high quality customer service | climatology | respond to inquiries in written form | arrange bookings | make reservations | process booking
29,IT,Healthcare,stack-stackoverflow,720,"Karlsruhe, Baden-Wurttemberg Germany",0.0,large gap,0,,monitor developments in field of expertise | digital curation | think analytically | consult with business clients | process payments | build team spirit | sell tourist packages | climatology | arrange bookings | respond to inquiries in written form
29,IT,Green Energy,stack-stackoverflow,720,"Karlsruhe, Baden-Wurttemberg Germany",0.0,large gap,0,,crowdsourcing strategy | monitor developments in field of expertise | digital curation | build team spirit | sales activities | manage maintenance operations | laboratory equipment | promote health and safety | protect the health of others | accounting
31,Green Energy,Tourism,stack-stackoverflow,834,Germany,0.0,large gap,0,,sales activities | sell tourist packages | process payments | build team spirit | provide high quality customer service | climatology | respond to inquiries in written form | arrange bookings | make reservations | process booking
31,Green Energy,Healthcare,stack-stackoverflow,834,Germany,0.0,large gap,0,,monitor developments in field of expertise | digital curation | think analytically | consult with business clients | process payments | build team spirit | sell tourist packages | climatology | arrange bookings | respond to inquiries in written form
34,IT,Tourism,stack-stackoverflow,890,Sweden,0.0,large gap,0,,sales activities | sell tourist packages | process payments | build team spirit | provide high quality customer service | climatology | respond to inquiries in written form | arrange bookings | make reservations | process booking
34,IT,Healthcare,stack-stackoverflow,890,Sweden,0.0,large gap,0,,monitor developments in field of expertise | digital curation | think analytically | consult with business clients | process payments | build team spirit | sell tourist packages | climatology | arrange bookings | respond to inquiries in written form
34,IT,Green Energy,stack-stackoverflow,890,Sweden,0.0,large gap,0,,crowdsourcing strategy | monitor developments in field of expertise | digital curation | build team spirit | sales activities | manage maintenance operations | laboratory equipment | promote health and safety | protect the health of others | accounting
37,IT,Tourism,stack-stackoverflow,913,Belgium,0.0,large gap,0,,sales activities | sell tourist packages | process payments | build team spirit | provide high quality customer service | climatology | respond to inquiries in written form | arrange bookings | make reservations | process booking
37,IT,Healthcare,stack-stackoverflow,913,Belgium,0.0,large gap,0,,monitor developments in field of expertise | digital curation | think analytically | consult with business clients | process payments | build team spirit | sell tourist packages | climatology | arrange bookings | respond to inquiries in written form
37,IT,Green Energy,stack-stackoverflow,913,Belgium,0.0,large gap,0,,crowdsourcing strategy | monitor developments in field of expertise | digital curation | build team spirit | sales activities | manage maintenance operations | laboratory equipment | promote health and safety | protect the health of others | accounting
41,IT,Tourism,stack-stackoverflow,932,"Athens, Greece",0.0,large gap,0,,sales activities | sell tourist packages | process payments | build team spirit | provide high quality customer service | climatology | respond to inquiries in written form | arrange bookings | make reservations | process booking
41,IT,Healthcare,stack-stackoverflow,932,"Athens, Greece",0.0,large gap,0,,monitor developments in field of expertise | digital curation | think analytically | consult with business clients | process payments | build team spirit | sell tourist packages | climatology | arrange bookings | respond to inquiries in written form
41,IT,Green Energy,stack-stackoverflow,932,"Athens, Greece",0.0,large gap,0,,crowdsourcing strategy | monitor developments in field of expertise | digital curation | build team spirit | sales activities | manage maintenance operations | laboratory equipment | promote health and safety | protect the health of others | accounting
50,IT,Tourism,stack-stackoverflow,985,"Łódź, Poland",0.0,large gap,0,,sales activities | sell tourist packages | process payments | build team spirit | provide high quality customer service | climatology | respond to inquiries in written form | arrange bookings | make reservations | process booking
50,IT,Healthcare,stack-stackoverflow,985,"Łódź, Poland",0.0,large gap,0,,monitor developments in field of expertise | digital curation | think analytically | consult with business clients | process payments | build team spirit | sell tourist packages | climatology | arrange bookings | respond to inquiries in written form
50,IT,Green Energy,stack-stackoverflow,985,"Łódź, Poland",0.0,large gap,0,,crowdsourcing strategy | monitor developments in field of expertise | digital curation | build team spirit | sales activities | manage maintenance operations | laboratory equipment | promote health and safety | protect the health of others | accounting
57,IT,Tourism,stack-stackoverflow,1037,Netherlands,0.0,large gap,0,,sales activities | sell tourist packages | process payments | build team spirit | provide high quality customer service | climatology | respond to inquiries in written form | arrange bookings | make reservations | process booking
57,IT,Healthcare,stack-stackoverflow,1037,Netherlands,0.0,large gap,0,,monitor developments in field of expertise | digital curation | think analytically | consult with business clients | process payments | build team spirit | sell tourist packages | climatology | arrange bookings | respond to inquiries in written form
57,IT,Green Energy,stack-stackoverflow,1037,Netherlands,0.0,large gap,0,,crowdsourcing strategy | monitor developments in field of expertise | digital curation | build team spirit | sales activities | manage maintenance operations | laboratory equipment | promote health and safety | protect the health of others | accounting
60,IT,Tourism,stack-stackoverflow,1087,Ireland,0.0,large gap,0,,sales activities | sell tourist packages | process payments | build team spirit | provide high quality customer service | climatology | respond to inquiries in written form | arrange bookings | make reservations | process booking
60,IT,Healthcare,stack-stackoverflow,1087,Ireland,0.0,large gap,0,,monitor developments in field of expertise | digital curation | think analytically | consult with business clients | process payments | build team spirit | sell tourist packages | climatology | arrange bookings | respond to inquiries in written form
60,IT,Green Energy,stack-stackoverflow,1087,Ireland,0.0,large gap,0,,crowdsourcing strategy | monitor developments in field of expertise | digital curation | build team spirit | sales activities | manage maintenance operations | laboratory equipment | promote health and safety | protect the health of others | accounting
64,IT,Tourism,stack-stackoverflow,1109,Sweden,0.0,large gap,0,,sales activities | sell tourist packages | process payments | build team spirit | provide high quality customer service | climatology | respond to inquiries in written form | arrange bookings | make reservations | process booking
64,IT,Healthcare,stack-stackoverflow,1109,Sweden,0.0,large gap,0,,monitor developments in field of expertise | digital curation | think analytically | consult with business clients | process payments | build team spirit | sell tourist packages | climatology | arrange bookings | respond to inquiries in written form
64,IT,Green Energy,stack-stackoverflow,1109,Sweden,0.0,large gap,0,,crowdsourcing strategy | monitor developments in field of expertise | digital curation | build team spirit | sales activities | manage maintenance operations | laboratory equipment | promote health and safety | protect the health of others | accounting
66,IT,Tourism,stack-stackoverflow,1168,"Karlsruhe, Germany",0.0,large gap,0,,sales activities | sell tourist packages | process payments | build team spirit | provide high quality customer service | climatology | respond to inquiries in written form | arrange bookings | make reservations | process booking
66,IT,Healthcare,stack-stackoverflow,1168,"Karlsruhe, Germany",0.0,large gap,0,,monitor developments in field of expertise | digital curation | think analytically | consult with business clients | process payments | build team spirit | sell tourist packages | climatology | arrange bookings | respond to inquiries in written form
66,IT,Green Energy,stack-stackoverflow,1168,"Karlsruhe, Germany",0.0,large gap,0,,crowdsourcing strategy | monitor developments in field of expertise | digital curation | build team spirit | sales activities | manage maintenance operations | laboratory equipment | promote health and safety | protect the health of others | accounting
8,IT,Tourism,stack-stackoverflow,136,"Amsterdam, Netherlands",0.0,large gap,0,,sales activities | sell tourist packages | process payments | build team spirit | provide high quality customer service | climatology | respond to inquiries in written form | arrange bookings | make reservations | process booking
8,IT,Healthcare,stack-stackoverflow,136,"Amsterdam, Netherlands",0.0,large gap,0,,monitor developments in field of expertise | digital curation | think analytically | consult with business clients | process payments | build team spirit | sell tourist packages | climatology | arrange bookings | respond to inquiries in written form
